LOW,HIGH,LAST,WEIGHT_AVG
-,-,-,-
290.00,95.00,104.88,"1,047.3"
290.00,110.00,110.09,953.4
-,-,-,-
116.00,114.00,109.87,947.2
149.79,114.99,108.75,"1,152.7"
-,-,-,-
129.95,124.00,106.87,"1,339.1"
112.00,105.00,104.80,"1,331.0"
-,-,-,-
113.38,104.64,105.34,"1,353.8"
115.96,115.00,105.26,"1,401.9"
-,-,-,-
110.24,109.68,105.09,"1,204.1"
110.00,100.00,103.66,"1,300.8"
-,-,-,-
116.25,113.85,108.94,"1,317.4"
122.00,114.00,111.18,"1,365.3"
-,-,-,-
132.35,128.99,122.50,"1,575.3"
135.69,128.00,126.36,"1,953.2"
-,-,-,-
182.88,138.00,128.31,"2,369.0"
140.00,131.99,129.29,"2,712.8"
-,-,-,-
138.70,127.00,128.89,"2,269.2"
134.40,131.01,129.88,"2,324.8"
-,-,-,-
142.63,139.87,131.56,"2,162.9"
154.80,150.00,133.50,"2,099.7"
-,-,-,-
132.85,124.00,124.70,"2,807.3"
128.62,92.98,109.11,"2,073.9"
-,-,-,-
128.81,120.00,107.88,"2,755.7"
132.00,115.00,97.89,"3,441.9"
-,-,-,-
132.90,125.00,104.99,"2,681.1"
116.00,94.16,93.64,"3,068.1"
-,-,-,-
100.00,55.93,74.94,"3,494.2"
93.08,22.09,58.30,"3,746.7"
-,-,-,-
75.00,8.70,29.71,"2,932.3"
75.00,0.50,13.74,"3,464.2"
-,-,-,-
64.39,35.82,24.02,"4,285.2"
59.10,46.00,24.22,"4,697.4"
-,-,-,-
95.50,78.26,50.50,"3,621.7"
90.00,73.61,57.35,"3,102.5"
-,-,-,-
99.66,89.29,73.00,"2,751.0"
140.00,138.65,93.39,"3,433.6"
-,-,-,-
138.62,125.00,115.35,"2,891.5"
122.51,113.04,111.61,"3,078.3"
-,-,-,-
138.15,127.78,119.69,"2,896.6"
125.45,119.90,116.12,"2,937.8"
-,-,-,-
132.24,113.00,116.48,"2,311.0"
132.17,104.54,119.17,"2,152.2"
-,-,-,-
127.94,99.00,111.29,"2,579.8"
124.50,103.05,105.94,"2,564.4"
-,-,-,-
118.91,83.99,96.82,"1,758.1"
121.37,121.00,97.17,"1,697.3"
-,-,-,-
290.00,124.13,102.03,"2,303.3"
128.98,122.81,89.05,"2,524.6"
